Date,Place,IMO number,Ship Name,Callsign,MMSI,Flag,Deficiencies,Detention,Ship Risk Profile
31.12.2019,"Kota Kinabalu, Sabah (Malaysia)",9245225,KOTA HORMAT,9VAL3,564059000,Singapore,0,no,Standard Risk Ship
31.12.2019,Kukup (Malaysia),8531287,OCEANNA 12,YB3702,525100021,Indonesia,8,no,Standard Risk Ship
31.12.2019,"Labuan, Sabah (Malaysia)",9630523,DYNAMIC OCEAN 27,3WEQ9,574001240,Vietnam,5,no,Standard Risk Ship
30.12.2019,"Kuching, Sarawak (Malaysia)",9414711,MATSUSAKA,VRDU7,477056800,"Hong Kong, China",0,no,Standard Risk Ship
30.12.2019,"Kuching, Sarawak (Malaysia)",8717934,SENNA 4,HSB4532,567413000,Thailand,0,no,Low Risk Ship
30.12.2019,"Kuching, Sarawak (Malaysia)",9580314,POAVOSA WISDOM III,3FLC5,353200000,Panama,0,no,Standard Risk Ship
30.12.2019,"Kota Kinabalu, Sabah (Malaysia)",9437866,SILVER SPIRIT,C6XU6,311022500,Bahamas,1,no,Low Risk Ship
30.12.2019,Port Kelang (Malaysia),8342375,VUNG HAI,3EIS9,371189000,Panama,3,no,High Risk Ship
29.12.2019,"Kota Kinabalu, Sabah (Malaysia)",9512123,BTS CALYPSO,9V3878,563406000,Singapore,0,no,Low Risk Ship
29.12.2019,Tanjung Pelepas (Malaysia),9294563,PIS PIONEER,H8UX,355015000,Panama,0,no,Standard Risk Ship
29.12.2019,"Bintulu, Sarawak (Malaysia)",9867267,SOUTHERN WOLF,D5VD5,636019577,Liberia,0,no,Standard Risk Ship
28.12.2019,"Bintulu, Sarawak (Malaysia)",9592898,STELLAR HUDSON,V2QT6,304309000,Antigua and Barbuda,0,no,Standard Risk Ship
28.12.2019,"Bintulu, Sarawak (Malaysia)",9267900,PRINCESS BOA,V7A2733,538008763,Marshall Islands,0,no,Standard Risk Ship
28.12.2019,"Bintulu, Sarawak (Malaysia)",9569956,MANDARIN HANTONG,D5VI6,636019619,Liberia,0,no,Low Risk Ship
27.12.2019,"Lahad Datu, Sabah (Malaysia)",9265885,JOHNNY TRADER,D5PA6,636018287,Liberia,0,no,Standard Risk Ship
27.12.2019,"Lahad Datu, Sabah (Malaysia)",9265885,JOHNNY TRADER,D5PA6,636018287,Liberia,2,no,
27.12.2019,Kuantan (Malaysia),9499632,HAI PHUONG OCEAN,3WVY,574129000,Vietnam,4,no,Standard Risk Ship
27.12.2019,Kuantan (Malaysia),9473406,BULKTEC,VRFJ3,477264900,"Hong Kong, China",0,no,Standard Risk Ship
27.12.2019,Port Kelang (Malaysia),9240043,TAN BINH 127,H9LN,354984000,Panama,3,no,Standard Risk Ship
26.12.2019,Port Kelang (Malaysia),9781619,PANCARAN III-715,YDA3802,525003387,Indonesia,3,no,
26.12.2019,"Kota Kinabalu, Sabah (Malaysia)",9221554,AIDAVITA,IBNP,247114900,Italy,1,no,
26.12.2019,Port Kelang (Malaysia),9498949,METIS,9V5433,563017100,Singapore,2,no,Standard Risk Ship
26.12.2019,Port Kelang (Malaysia),9781619,PANCARAN III-715,YDA3802,525003387,Indonesia,3,yes,Standard Risk Ship
24.12.2019,Kuantan (Malaysia),9456226,DAISY OCEAN,VRSU7,477345400,"Hong Kong, China",1,no,Standard Risk Ship
24.12.2019,"Kuching, Sarawak (Malaysia)",9631723,TRUONG MINH STAR,3WST7,574003690,Vietnam,0,no,High Risk Ship
24.12.2019,Tanjung Pelepas (Malaysia),9235268,EUROPE,ONCP,205408000,Belgium,0,no,High Risk Ship
24.12.2019,Port Kelang (Malaysia),9276779,TAN BINH 246,3FCQ7,351040000,Panama,2,no,Standard Risk Ship
23.12.2019,"Lahad Datu, Sabah (Malaysia)",9526681,HENG XIN,VRLL5,477190300,"Hong Kong, China",0,no,Low Risk Ship
23.12.2019,Tanjung Pelepas (Malaysia),8673982,JADE,9LU2206,667001403,Sierra Leone,8,no,High Risk Ship
23.12.2019,"Lahad Datu, Sabah (Malaysia)",9526681,HENG XIN,VRLL5,477190300,"Hong Kong, China",2,no,
23.12.2019,Penang (Malaysia),9363340,INDEPENDENCE,JVRG6,457507000,Mongolia,0,no,High Risk Ship
23.12.2019,"Kota Kinabalu, Sabah (Malaysia)",9609225,ND THELXIS,9HA4751,248665000,Malta,0,no,Low Risk Ship
23.12.2019,"Kota Kinabalu, Sabah (Malaysia)",9609225,ND THELXIS,9HA4751,248665000,Malta,2,no,
22.12.2019,"Kota Kinabalu, Sabah (Malaysia)",9519195,POAVOSA BRAVE,3EXZ9,354820000,Panama,0,no,High Risk Ship
22.12.2019,"Pasir Gudang, Johor (Malaysia)",9895953,ALLYA EXPRESS 3,YB3895,525500382,Indonesia,5,no,
20.12.2019,Kuantan (Malaysia),9267405,JIAN XING,HOVE,356726000,Panama,5,no,
19.12.2019,Muar (Malaysia),8541256,BAHTERA LINGGA,YB3628,525007256,Indonesia,5,no,
19.12.2019,Kuantan (Malaysia),9155315,CAPTAIN GEORGE K,D5HT2,636016776,Liberia,1,no,Standard Risk Ship
19.12.2019,"Pasir Gudang, Johor (Malaysia)",9133989,FORMULA ONE,E5U3339,518100424,Cook Islands,0,no,High Risk Ship
19.12.2019,"Kota Kinabalu, Sabah (Malaysia)",9543304,BLUE STAR,3WZR,574862000,Vietnam,0,no,High Risk Ship
19.12.2019,Kemaman (Malaysia),9276298,TASCO PHOENIX,9V9433,566105000,Singapore,3,no,
19.12.2019,Tanjung Pelepas (Malaysia),9235244,NEW GLOBAL,V7A2122,538008237,Marshall Islands,0,no,High Risk Ship
19.12.2019,Port Kelang (Malaysia),9224491,YM GREEN,ELXZ3,636011275,Liberia,3,no,
19.12.2019,Port Kelang (Malaysia),9224491,YM GREEN,ELXZ3,636011275,Liberia,0,no,Standard Risk Ship
19.12.2019,Muar (Malaysia),8541256,BAHTERA LINGGA,YB3628,525007256,Indonesia,5,no,Standard Risk Ship
18.12.2019,Tanjung Pelepas (Malaysia),9205081,WINSON NO. 5,3FNF7,372147000,Panama,0,no,Standard Risk Ship
18.12.2019,"Kuching, Sarawak (Malaysia)",9165827,ELYANA,EPBY9,422038600,"Iran, Islamic Republic of",0,no,Standard Risk Ship
18.12.2019,Port Kelang (Malaysia),9176474,BANGSAKAO,HSB4573,567428000,Thailand,1,no,High Risk Ship
17.12.2019,Port Kelang (Malaysia),9125360,CHARLENE,T2VT3,572255210,Tuvalu,2,no,High Risk Ship
17.12.2019,Port Kelang (Malaysia),9545730,AN TRUNG 168,XVPZ,574413000,Vietnam,4,no,High Risk Ship
17.12.2019,Port Kelang (Malaysia),9319105,YM INVENTIVE,A8HX5,636012798,Liberia,1,no,
17.12.2019,Port Kelang (Malaysia),9319105,YM INVENTIVE,A8HX5,636012798,Liberia,0,no,Standard Risk Ship
16.12.2019,"Pasir Gudang, Johor (Malaysia)",9513347,SUPPORT I,9V7532,566729000,Singapore,0,no,Standard Risk Ship
16.12.2019,"Pasir Gudang, Johor (Malaysia)",9683207,TOLAK 12,9V5167,564311000,Singapore,0,no,Standard Risk Ship
16.12.2019,Port Kelang (Malaysia),9230206,WAN HAI 261,9VHZ8,563250000,Singapore,0,no,Low Risk Ship
16.12.2019,Penang (Malaysia),7125861,ORIENTAL DRAGON,3FDZ8,353669000,Panama,4,no,High Risk Ship
16.12.2019,Penang (Malaysia),7125861,ORIENTAL DRAGON,3FDZ8,353669000,Panama,15,no,
16.12.2019,"Pasir Gudang, Johor (Malaysia)",9038476,RV GARDA,YCRY2,525300902,Indonesia,0,no,High Risk Ship
16.12.2019,"Pasir Gudang, Johor (Malaysia)",8540006,PINTAS SAMUDERA 8,YB3504,525019378,Indonesia,6,no,High Risk Ship
16.12.2019,"Pasir Gudang, Johor (Malaysia)",8670277,DUMAI EXPRESS 11,YB3191,525018223,Indonesia,3,no,Standard Risk Ship
16.12.2019,"Pasir Gudang, Johor (Malaysia)",8898439,MARINA LINES,YB3326,525019081,Indonesia,3,no,High Risk Ship
16.12.2019,"Pasir Gudang, Johor (Malaysia)",9895953,ALLYA EXPRESS 3,YB3895,525500382,Indonesia,5,no,Standard Risk Ship
16.12.2019,"Pasir Gudang, Johor (Malaysia)",8898439,MARINA LINES,YB3326,525019081,Indonesia,1,no,
15.12.2019,"Kota Kinabalu, Sabah (Malaysia)",9311402,PORT ALICE,VRIC6,477351600,"Hong Kong, China",0,no,Low Risk Ship
15.12.2019,"Pasir Gudang, Johor (Malaysia)",9358814,INTAN GLORY,9V8127,564195000,Singapore,0,no,Low Risk Ship
13.12.2019,Port Kelang (Malaysia),9238179,WAN HAI 303,S6DT5,564524000,Singapore,0,no,High Risk Ship
12.12.2019,"Lahad Datu, Sabah (Malaysia)",9426623,GLOBAL CERES,3FFB3,371438000,Panama,0,no,Low Risk Ship
12.12.2019,"Bintulu, Sarawak (Malaysia)",9561825,PRIDE,3EUU3,372868000,Panama,0,no,Standard Risk Ship
12.12.2019,"Kuching, Sarawak (Malaysia)",9641924,POAVOSA WISDOM VIII,3EWQ5,356188000,Panama,0,no,Standard Risk Ship
11.12.2019,Kuantan (Malaysia),9086966,YU HUA,3FDK2,351404000,Panama,2,no,High Risk Ship
11.12.2019,Malacca (Malaysia),9663037,OCEANLINE SC2301,JVUA4,457900090,Mongolia,15,no,High Risk Ship
11.12.2019,Tanjung Pelepas (Malaysia),0,YTC TUG 22,9V3981,563002360,Singapore,2,no,
11.12.2019,Penang (Malaysia),9403011,COSCO YINGKOU,VRCY6,477883100,"Hong Kong, China",0,no,Low Risk Ship
10.12.2019,Port Dickson (Malaysia),9891335,INDOMAL KINGDOM,YB3900,525500415,Indonesia,3,no,
10.12.2019,"Bintulu, Sarawak (Malaysia)",9181027,BRAVE,3FOP9,357886000,Panama,0,no,High Risk Ship
10.12.2019,Kemaman (Malaysia),9070797,MINXI,3EXL6,354914000,Panama,5,no,High Risk Ship
10.12.2019,Port Kelang (Malaysia),9414008,DMC JUPITER,3EJI9,357992000,Panama,3,no,High Risk Ship
10.12.2019,Port Kelang (Malaysia),9643192,OCEAN BRIGHT,3FYJ2,373176000,Panama,1,no,High Risk Ship
10.12.2019,"Kuching, Sarawak (Malaysia)",9587714,TRUONG LOC 16,XVWT,574000400,Vietnam,0,no,Low Risk Ship
